,timestamp,stationId,value,latitude,longitude
0,2024-11-30 10:00:00,S218,0,1.36491,103.75065
0,2024-11-30 10:05:00,S218,0,1.36491,103.75065
0,2024-11-30 10:00:00,S219,0,1.37999,103.87643
0,2024-11-30 10:05:00,S219,0,1.37999,103.87643
0,2024-11-30 10:00:00,S216,0,1.36019,103.85335
0,2024-11-30 10:05:00,S216,0,1.36019,103.85335
0,2024-11-30 10:00:00,S217,0,1.35041,103.85526
0,2024-11-30 10:05:00,S217,0,1.35041,103.85526
0,2024-11-30 10:00:00,S214,0,1.29911,103.88289
0,2024-11-30 10:05:00,S214,0,1.29911,103.88289
0,2024-11-30 10:00:00,S215,0,1.32785,103.88899
0,2024-11-30 10:05:00,S215,0,1.32785,103.88899
0,2024-11-30 10:00:00,S213,0,1.32427,103.8097
0,2024-11-30 10:05:00,S213,0,1.32427,103.8097
0,2024-11-30 10:00:00,S81,0,1.4029,103.9092
0,2024-11-30 10:05:00,S81,0,1.4029,103.9092
0,2024-11-30 10:00:00,S40,0,1.4044,103.78962
0,2024-11-30 10:05:00,S40,0,1.4044,103.78962
0,2024-11-30 10:00:00,S84,0,1.3437,103.9444
0,2024-11-30 10:05:00,S84,0,1.3437,103.9444
0,2024-11-30 10:00:00,S88,0,1.3427,103.8482
0,2024-11-30 10:05:00,S88,0,1.3427,103.8482
0,2024-11-30 10:00:00,S43,0,1.3399,103.8878
0,2024-11-30 10:05:00,S43,0,1.3399,103.8878
0,2024-11-30 10:00:00,S89,0,1.31985,103.66162
0,2024-11-30 10:05:00,S89,0,1.31985,103.66162
0,2024-11-30 10:00:00,S06,0,1.3524,103.9007
0,2024-11-30 10:05:00,S06,0,1.3524,103.9007
0,2024-11-30 10:00:00,S221,0,1.35691,103.89088
0,2024-11-30 10:05:00,S221,0,1.35691,103.89088
0,2024-11-30 10:00:00,S222,0,1.28987,103.82364
0,2024-11-30 10:05:00,S222,0,1.28987,103.82364
0,2024-11-30 10:00:00,S08,0,1.3701,103.8271
0,2024-11-30 10:05:00,S08,0,1.3701,103.8271
0,2024-11-30 10:00:00,S07,0,1.3415,103.8334
0,2024-11-30 10:05:00,S07,0,1.3415,103.8334
0,2024-11-30 10:00:00,S220,0,1.38666,103.89797
0,2024-11-30 10:05:00,S220,0,1.38666,103.89797
0,2024-11-30 10:00:00,S207,0,1.32485,103.95836
0,2024-11-30 10:05:00,S207,0,1.32485,103.95836
0,2024-11-30 10:00:00,S208,0,1.3136,104.00317
0,2024-11-30 10:05:00,S208,0,1.3136,104.00317
0,2024-11-30 10:00:00,S203,0,1.29164,103.7702
0,2024-11-30 10:05:00,S203,0,1.29164,103.7702
0,2024-11-30 10:00:00,S201,0,1.32311,103.76714
0,2024-11-30 10:05:00,S201,0,1.32311,103.76714
0,2024-11-30 10:00:00,S90,0,1.3191,103.8191
0,2024-11-30 10:05:00,S90,0,1.3191,103.8191
0,2024-11-30 10:00:00,S209,0,1.42111,103.84472
0,2024-11-30 10:05:00,S209,0,1.42111,103.84472
0,2024-11-30 10:00:00,S50,0,1.3337,103.7768
0,2024-11-30 10:05:00,S50,0,1.3337,103.7768
0,2024-11-30 10:00:00,S210,0,1.44003,103.76904
0,2024-11-30 10:05:00,S210,0,1.44003,103.76904
0,2024-11-30 10:00:00,S211,0,1.42918,103.75711
0,2024-11-30 10:05:00,S211,0,1.42918,103.75711
0,2024-11-30 10:00:00,S119,0,1.30105,103.8666
0,2024-11-30 10:05:00,S119,0,1.30105,103.8666
0,2024-11-30 10:00:00,S117,0,1.256,103.679
0,2024-11-30 10:05:00,S117,0,1.256,103.679
0,2024-11-30 10:00:00,S115,0,1.29377,103.61843
0,2024-11-30 10:05:00,S115,0,1.29377,103.61843
0,2024-11-30 10:00:00,S116,0,1.281,103.754
0,2024-11-30 10:05:00,S116,0,1.281,103.754
0,2024-11-30 10:00:00,S113,0,1.30648,103.9104
0,2024-11-30 10:05:00,S113,0,1.30648,103.9104
0,2024-11-30 10:00:00,S60,0,1.25,103.8279
0,2024-11-30 10:05:00,S60,0,1.25,103.8279
0,2024-11-30 10:00:00,S64,0,1.3824,103.7603
0,2024-11-30 10:05:00,S64,0,1.3824,103.7603
0,2024-11-30 10:00:00,S66,0,1.4387,103.7363
0,2024-11-30 10:05:00,S66,0,1.4387,103.7363
0,2024-11-30 10:00:00,S24,0,1.3678,103.9826
0,2024-11-30 10:05:00,S24,0,1.3678,103.9826
0,2024-11-30 10:00:00,S69,0,1.37,103.805
0,2024-11-30 10:05:00,S69,0,1.37,103.805
0,2024-11-30 10:00:00,S29,0,1.387,103.935
0,2024-11-30 10:05:00,S29,0,1.387,103.935
0,2024-11-30 10:00:00,S121,0,1.37288,103.72244
0,2024-11-30 10:05:00,S121,0,1.37288,103.72244
0,2024-11-30 10:00:00,S229,0,1.35167,103.72195
0,2024-11-30 10:05:00,S229,0,1.35167,103.72195
0,2024-11-30 10:00:00,S900,0,1.41284,103.86922
0,2024-11-30 10:05:00,S900,0,1.41284,103.86922
0,2024-11-30 10:00:00,S109,0,1.3764,103.8492
0,2024-11-30 10:05:00,S109,0,1.3764,103.8492
0,2024-11-30 10:00:00,S106,0,1.4168,103.9673
0,2024-11-30 10:05:00,S106,0,1.4168,103.9673
0,2024-11-30 10:00:00,S227,0,1.43944,103.80389
0,2024-11-30 10:05:00,S227,0,1.43944,103.80389
0,2024-11-30 10:00:00,S107,0,1.3135,103.9625
0,2024-11-30 10:05:00,S107,0,1.3135,103.9625
0,2024-11-30 10:00:00,S228,0,1.34703,103.70073
0,2024-11-30 10:05:00,S228,0,1.34703,103.70073
0,2024-11-30 10:00:00,S104,0,1.44387,103.78538
0,2024-11-30 10:05:00,S104,0,1.44387,103.78538
0,2024-11-30 10:00:00,S226,0,1.27472,103.80389
0,2024-11-30 10:05:00,S226,0,1.27472,103.80389
0,2024-11-30 10:00:00,S223,0,1.29984,103.80264
0,2024-11-30 10:05:00,S223,0,1.29984,103.80264
0,2024-11-30 10:00:00,S224,0,1.34392,103.98409
0,2024-11-30 10:05:00,S224,0,1.34392,103.98409
0,2024-11-30 10:00:00,S71,0,1.2923,103.7815
0,2024-11-30 10:05:00,S71,0,1.2923,103.7815
